"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete a report (soft delete)","172","Delete Report","QA|Nova Bank - Infopool","Fri Sep 26 18:55:04 UTC 2025","broken","Fri Sep 26 18:55:04 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","165","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Sep 26 18:54:34 UTC 2025","broken","Fri Sep 26 18:54:34 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","175","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:30 UTC 2025","broken","Fri Sep 26 18:54:31 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","167","No Auth - Get all permissions","QA|Nova Bank - Infopool","Fri Sep 26 18:54:59 UTC 2025","broken","Fri Sep 26 18:54:59 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","167","No Auth - Update Issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:38 UTC 2025","broken","Fri Sep 26 18:54:38 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","176","Forgot password - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:28 UTC 2025","broken","Fri Sep 26 18:54:28 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","161","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Sep 26 18:54:43 UTC 2025","broken","Fri Sep 26 18:54:44 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get a paginated list of reports with optional filtering","171","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Fri Sep 26 18:55:01 UTC 2025","broken","Fri Sep 26 18:55:01 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","172","Get role by ID - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:58 UTC 2025","broken","Fri Sep 26 18:54:58 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","172","Get events - no auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:34 UTC 2025","broken","Fri Sep 26 18:54:34 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"Get a paginated list of reports with optional filtering","163","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri Sep 26 18:55:01 UTC 2025","broken","Fri Sep 26 18:55:01 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","170","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Sep 26 18:54:54 UTC 2025","broken","Fri Sep 26 18:54:55 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","176","Update Issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:38 UTC 2025","broken","Fri Sep 26 18:54:38 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Get a paginated list of reports with optional filtering","173","Get Reports Stats","QA|Nova Bank - Infopool","Fri Sep 26 18:55:01 UTC 2025","broken","Fri Sep 26 18:55:01 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","173","Export Report Data - No auth","QA|Nova Bank - Infopool","Fri Sep 26 18:55:05 UTC 2025","broken","Fri Sep 26 18:55:05 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","171","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:52 UTC 2025","broken","Fri Sep 26 18:54:52 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","165","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Fri Sep 26 18:55:05 UTC 2025","broken","Fri Sep 26 18:55:06 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Create a new report","172","Create Report - No auth","QA|Nova Bank - Infopool","Fri Sep 26 18:55:03 UTC 2025","broken","Fri Sep 26 18:55:03 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","171","Get roles - No Auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:57 UTC 2025","broken","Fri Sep 26 18:54:57 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","173","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:38 UTC 2025","broken","Fri Sep 26 18:54:39 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","173","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri Sep 26 18:54:42 UTC 2025","broken","Fri Sep 26 18:54:42 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Delete a report (soft delete)","168","Delete Report -No auth","QA|Nova Bank - Infopool","Fri Sep 26 18:55:04 UTC 2025","broken","Fri Sep 26 18:55:04 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","170","Update user - no auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:48 UTC 2025","broken","Fri Sep 26 18:54:48 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","172","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Sep 26 18:54:29 UTC 2025","broken","Fri Sep 26 18:54:29 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","176","No Auth - Change password","QA|Nova Bank - Infopool","Fri Sep 26 18:54:31 UTC 2025","broken","Fri Sep 26 18:54:31 UTC 2025","v1 > Profile > Password","Bank User","",""
"","175","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Sep 26 18:54:35 UTC 2025","broken","Fri Sep 26 18:54:35 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","163","Search Customers","QA|Nova Bank - Infopool","Fri Sep 26 18:54:42 UTC 2025","broken","Fri Sep 26 18:54:42 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","169","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Sep 26 18:54:56 UTC 2025","broken","Fri Sep 26 18:54:56 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","182","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri Sep 26 18:54:28 UTC 2025","broken","Fri Sep 26 18:54:28 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","173","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri Sep 26 18:55:05 UTC 2025","broken","Fri Sep 26 18:55:05 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","170","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri Sep 26 18:54:52 UTC 2025","broken","Fri Sep 26 18:54:53 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","174","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:47 UTC 2025","broken","Fri Sep 26 18:54:47 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","182","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Sep 26 18:54:50 UTC 2025","broken","Fri Sep 26 18:54:50 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","167","add_comment_successfully","QA|Nova Bank - Infopool","Fri Sep 26 18:54:40 UTC 2025","broken","Fri Sep 26 18:54:40 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","163","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:55 UTC 2025","broken","Fri Sep 26 18:54:55 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","171","search Corporate Adjustment","QA|Nova Bank - Infopool","Fri Sep 26 18:55:06 UTC 2025","broken","Fri Sep 26 18:55:06 UTC 2025","","corporate Adjustment","",""
"","171","Create roles","QA|Nova Bank - Infopool","Fri Sep 26 18:54:57 UTC 2025","broken","Fri Sep 26 18:54:57 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","172","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Sep 26 18:54:51 UTC 2025","broken","Fri Sep 26 18:54:51 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","170","Update role status","QA|Nova Bank - Infopool","Fri Sep 26 18:54:57 UTC 2025","broken","Fri Sep 26 18:54:58 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","170","Change password - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:31 UTC 2025","broken","Fri Sep 26 18:54:31 UTC 2025","v1 > Profile > Password","Bank User","",""
"","183","reset password","QA|Nova Bank - Infopool","Fri Sep 26 18:54:29 UTC 2025","broken","Fri Sep 26 18:54:29 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","176","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Sep 26 18:54:29 UTC 2025","broken","Fri Sep 26 18:54:29 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","173","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Sep 26 18:54:36 UTC 2025","broken","Fri Sep 26 18:54:36 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","170","No_auth_add_comments","QA|Nova Bank - Infopool","Fri Sep 26 18:54:40 UTC 2025","broken","Fri Sep 26 18:54:40 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","170","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:35 UTC 2025","broken","Fri Sep 26 18:54:35 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get a paginated list of reports with optional filtering","161","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Fri Sep 26 18:55:01 UTC 2025","broken","Fri Sep 26 18:55:01 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","176","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Sep 26 18:54:29 UTC 2025","broken","Fri Sep 26 18:54:29 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","177","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Fri Sep 26 18:55:05 UTC 2025","broken","Fri Sep 26 18:55:05 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","171","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Sep 26 18:54:54 UTC 2025","broken","Fri Sep 26 18:54:54 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","171","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:56 UTC 2025","broken","Fri Sep 26 18:54:56 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Delete a report (soft delete)","169","Delete Report - Invalid id","QA|Nova Bank - Infopool","Fri Sep 26 18:55:04 UTC 2025","broken","Fri Sep 26 18:55:04 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","169","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Sep 26 18:54:47 UTC 2025","broken","Fri Sep 26 18:54:47 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","172","managers","QA|Nova Bank - Infopool","Fri Sep 26 18:54:56 UTC 2025","broken","Fri Sep 26 18:54:56 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","172","Get events - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:33 UTC 2025","broken","Fri Sep 26 18:54:34 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","168","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Sep 26 18:54:53 UTC 2025","broken","Fri Sep 26 18:54:53 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","173","Update profile - no auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:32 UTC 2025","broken","Fri Sep 26 18:54:33 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","168","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Sep 26 18:54:43 UTC 2025","broken","Fri Sep 26 18:54:43 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","200","Create a New Issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:36 UTC 2025","broken","Fri Sep 26 18:54:37 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","297","audit trail","QA|Nova Bank - Infopool","Fri Sep 26 18:54:34 UTC 2025","broken","Fri Sep 26 18:54:35 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","172","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Sep 26 18:54:49 UTC 2025","broken","Fri Sep 26 18:54:49 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","168","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Sep 26 18:54:43 UTC 2025","broken","Fri Sep 26 18:54:43 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","172","Get all definitions","QA|Nova Bank - Infopool","Fri Sep 26 18:54:45 UTC 2025","broken","Fri Sep 26 18:54:46 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","202","No user credentials","QA|Nova Bank - Infopool","Fri Sep 26 18:54:27 UTC 2025","broken","Fri Sep 26 18:54:28 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","177","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Sep 26 18:54:44 UTC 2025","broken","Fri Sep 26 18:54:45 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","170","successful dashboard embed","QA|Nova Bank - Infopool","Fri Sep 26 18:54:45 UTC 2025","broken","Fri Sep 26 18:54:45 UTC 2025","embed dashboard","Bank User","",""
"","170","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri Sep 26 18:54:43 UTC 2025","broken","Fri Sep 26 18:54:43 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","176","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Sep 26 18:54:53 UTC 2025","broken","Fri Sep 26 18:54:53 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","169","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Fri Sep 26 18:54:58 UTC 2025","broken","Fri Sep 26 18:54:58 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","171","Update user - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:48 UTC 2025","broken","Fri Sep 26 18:54:48 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","170","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:39 UTC 2025","broken","Fri Sep 26 18:54:39 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","168","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Sep 26 18:54:44 UTC 2025","broken","Fri Sep 26 18:54:44 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","173","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri Sep 26 18:54:58 UTC 2025","broken","Fri Sep 26 18:54:58 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","159","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Sep 26 18:54:45 UTC 2025","broken","Fri Sep 26 18:54:45 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","175","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:53 UTC 2025","broken","Fri Sep 26 18:54:53 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","174","No auth - get all category","QA|Nova Bank - Infopool","Fri Sep 26 18:54:59 UTC 2025","broken","Fri Sep 26 18:55:00 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"Get a paginated list of reports with optional filtering","170","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Fri Sep 26 18:55:01 UTC 2025","broken","Fri Sep 26 18:55:02 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get a specific report by ID","168","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Fri Sep 26 18:55:03 UTC 2025","broken","Fri Sep 26 18:55:03 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","171","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Sep 26 18:54:55 UTC 2025","broken","Fri Sep 26 18:54:55 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","163","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Sep 26 18:54:50 UTC 2025","broken","Fri Sep 26 18:54:50 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","162","Empty new password - Change password","QA|Nova Bank - Infopool","Fri Sep 26 18:54:32 UTC 2025","broken","Fri Sep 26 18:54:32 UTC 2025","v1 > Profile > Password","Bank User","",""
"","162","No auth - managers","QA|Nova Bank - Infopool","Fri Sep 26 18:54:56 UTC 2025","broken","Fri Sep 26 18:54:57 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","171","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri Sep 26 18:54:36 UTC 2025","broken","Fri Sep 26 18:54:36 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","176","Get single definition","QA|Nova Bank - Infopool","Fri Sep 26 18:54:46 UTC 2025","broken","Fri Sep 26 18:54:46 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","177","Create organization - empty description","QA|Nova Bank - Infopool","Fri Sep 26 18:54:50 UTC 2025","broken","Fri Sep 26 18:54:51 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","164","audit-search","QA|Nova Bank - Infopool","Fri Sep 26 18:54:35 UTC 2025","broken","Fri Sep 26 18:54:35 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","169","Health","QA|Nova Bank - Infopool","Fri Sep 26 18:54:45 UTC 2025","broken","Fri Sep 26 18:54:45 UTC 2025","v1 > Health","Bank Admin","",""
"","171","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Fri Sep 26 18:54:36 UTC 2025","broken","Fri Sep 26 18:54:36 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","160","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Sep 26 18:54:37 UTC 2025","broken","Fri Sep 26 18:54:38 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Get a paginated list of reports with optional filtering","172","Get Reports - No auth","QA|Nova Bank - Infopool","Fri Sep 26 18:55:00 UTC 2025","broken","Fri Sep 26 18:55:01 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","169","Update Customer Comment","QA|Nova Bank - Infopool","Fri Sep 26 18:54:41 UTC 2025","broken","Fri Sep 26 18:54:41 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","169","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Sep 26 18:54:55 UTC 2025","broken","Fri Sep 26 18:54:55 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","170","Get profile - successfully","QA|Nova Bank - Infopool","Fri Sep 26 18:54:32 UTC 2025","broken","Fri Sep 26 18:54:32 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","170","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Sep 26 18:54:31 UTC 2025","broken","Fri Sep 26 18:54:31 UTC 2025","v1 > Profile > Password","Bank User","",""
"","164","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri Sep 26 18:54:36 UTC 2025","broken","Fri Sep 26 18:54:36 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","170","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Sep 26 18:54:55 UTC 2025","broken","Fri Sep 26 18:54:56 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","174","Fetch all organizations","QA|Nova Bank - Infopool","Fri Sep 26 18:54:52 UTC 2025","broken","Fri Sep 26 18:54:52 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","172","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:39 UTC 2025","broken","Fri Sep 26 18:54:40 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","163","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Sep 26 18:54:48 UTC 2025","broken","Fri Sep 26 18:54:48 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","181","verify OTP","QA|Nova Bank - Infopool","Fri Sep 26 18:54:30 UTC 2025","broken","Fri Sep 26 18:54:30 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","170","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Sep 26 18:54:54 UTC 2025","broken","Fri Sep 26 18:54:54 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
